Country (Code UN (M49)),Country (Name),Unit (Name),Unit,[1961],[1962],[1963],[1964],[1965],[1966],[1967],[1968],[1969],[1970],[1971],[1972],[1973],[1974],[1975],[1976],[1977],[1978],[1979],[1980],[1981],[1982],[1983],[1984],[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
204,Benin,Number (Thousand),Number (1000),2551.22,2593.3,2638.08,2685.62,2735.84,2788.64,2843.74,2901.22,2961.17,3023.44,3088.38,3156.41,3227.38,3301.28,3378.7,3460.33,3546.45,3636.93,3732.39,3833.94,3941.57,4054.39,4171.53,4293.07,4419.55,4551.38,4688.79,4831.62,4979.68,5133.42,5293.05,5457.78,5706.18,5923.39,6046.51,6203.86,6387.03,6584.18,6788.59,6998.02,7212.04,7431.78,7659.21,7894.55,8149.42,8402.63,8647.76,8906.47,9172.51,9445.71,9726.38,10014.08,10308.73,10614.84,10932.78,11260.08,11596.78,11940.68,12290.44
060,Bermuda,Number (Thousand),Number (1000),42.89,43.93,44.95,46,47.07,48.13,49.14,50.15,51.14,52.02,52.54,52.74,52.92,53.1,53.26,53.37,53.43,53.46,53.46,53.56,53.91,54.34,54.77,55.2,55.61,55.99,56.37,56.74,57.11,57.47,57.87,58.32,58.74,59.11,59.47,59.84,60.23,60.6,60.98,61.37,61.76,62.14,62.47,62.74,62.96,63.08,63.16,63.26,63.35,63.45,63.53,63.56,63.51,63.35,63.14,63.07,63.27,63.57,63.81
064,Bhutan,Number (Thousand),Number (1000),227.07,233.42,240.27,247.44,255.01,262.98,271.34,280.1,289.3,298.89,308.84,319.13,329.8,340.84,352.27,364.12,376.39,389.07,402.06,415.26,428.64,442.2,456.03,470.17,484.53,499.15,514.03,529.05,544.21,558.44,567.71,545.94,520.84,521.26,527.54,537.49,546.87,557.14,570.99,587.21,603.23,619.05,634.63,649.99,663.32,673.26,681.61,689.74,697.68,705.52,713.33,721.15,728.89,736.36,743.27,749.76,756.12,762.1,767.46
068,Bolivia (Plurinat.State),Number (Thousand),Number (1000),3784.74,3864.14,3945.73,4029.47,4115.51,4204.06,4295.27,4389.25,4486.1,4585.69,4688.27,4793.8,4902.25,5013.77,5127.78,5244.36,5363.92,5486.13,5610.38,5736.09,5862.99,5991.12,6120.62,6251.93,6385.63,6521.98,6661.43,6804.07,6949.14,7096.19,7244.89,7394.42,7544.49,7693.72,7841.47,7989.37,8137.62,8286.93,8439.05,8592.66,8746.08,8900.58,9057.38,9216.28,9377.39,9542.66,9711.15,9880.59,10051.32,10223.27,10396.25,10569.7,10743.35,10916.99,11090.09,11263.02,11435.53,11606.91,11777.32
535,Bonaire/S.Eustatius/Saba,Number (Thousand),Number (1000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,21.45,22,22.57,23.16,23.77,24.37,24.97,25.57
070,Bosnia and Herzegovina,Number (Thousand),Number (1000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4275.73,3942.98,3762.33,3750.53,3907.75,4047.75,4115.06,4153.01,4179.35,4194.93,4198.41,4183.76,4142.86,4094.3,4058.09,4007.88,3943.39,3877.75,3811.09,3743.14,3674.37,3617.56,3571.07,3524.32,3480.99,3440.03,3400.13,3360.71
072,Botswana,Number (Thousand),Number (1000),524.4,536.43,549.04,562.27,570.98,574.86,578.72,582.65,586.74,592.24,604.14,626.6,657.25,691.57,727.93,766.42,806.97,849.39,893.5,938.58,982.75,1023.01,1060.72,1099.17,1138.7,1179.26,1220.36,1261.27,1301.67,1341.47,1380.58,1420.69,1462.26,1503.55,1543.63,1582.17,1619.35,1655.7,1691.56,1726.98,1761.93,1795.13,1826.86,1859.09,1892.81,1928.7,1966.98,2007.32,2049,2091.66,2134.04,2175.43,2217.28,2260.38,2305.17,2352.42,2401.84,2451.41,2499.7
076,Brazil,Number (Thousand),Number (1000),75330.01,77599.22,79915.55,82262.79,84623.75,86979.28,89323.29,91659.25,94000.38,96369.88,98766.29,101194.39,103666.9,106167.37,108700.51,111286.51,113939.89,116664.38,119447.3,122288.38,125168.06,128065.1,130977.37,133888.77,136783.18,139643.36,142466.27,145253.97,148003.41,150706.45,153336.45,155900.79,158440.88,160980.47,163515.33,166037.12,168546.71,171039.8,173486.28,175873.72,178211.88,180476.69,182629.28,184722.04,186797.33,188820.68,190779.45,192672.32,194517.55,196353.49,198185.3,199977.71,201721.77,203459.65,205188.2,206859.58,208504.96,210166.59,211782.88
092,British Virgin Islands,Number (Thousand),Number (1000),7.88,7.9,7.92,7.95,8.02,8.14,8.34,8.65,9.12,9.58,9.81,9.91,10.02,10.15,10.28,10.43,10.58,10.73,10.88,11.11,11.47,11.89,12.31,12.75,13.2,13.66,14.12,14.59,15.09,15.62,16.09,16.48,16.86,17.25,17.68,18.12,18.59,19.08,19.59,20.1,20.66,21.29,21.98,22.72,23.5,24.32,25.19,26.11,27.04,27.56,27.96,28.42,28.66,28.97,29.37,29.74,30.06,30.34,30.61
096,Brunei Darussalam,Number (Thousand),Number (1000),89.56,93.84,98.28,102.9,107.69,112.6,117.63,122.77,128.01,133.34,138.67,143.89,149.06,154.31,159.65,165.06,170.56,176.18,181.95,187.92,194.1,200.63,207.52,214.68,222.12,229.82,237.71,245.73,253.82,261.93,269.86,277.42,284.71,291.94,299.1,306.2,313.21,320.15,327.05,333.93,340.75,347.46,354.05,360.46,366.72,372.81,378.75,384.57,390.31,396.05,401.51,406.63,411.7,416.66,421.44,425.99,430.28,434.27,438.05
100,Bulgaria,Number (Thousand),Number (1000),7969.34,8040.77,8108.15,8177.72,8245.07,8308.9,8369.84,8438.29,8512.92,8582.95,8646.26,8700.15,8753.49,8810.67,8860.97,8902.47,8935.45,8958.27,8974.43,8980.61,8978.41,8970.49,8956.43,8939.49,8917.08,8892.1,8865.75,8835.82,8804.43,8767.78,8721.66,8668.54,8611.54,8548.47,8477.58,8401.38,8318.97,8234.93,8162.3,8097.69,8034.86,7974.81,7917.74,7865.32,7815.22,7766.04,7719.04,7674.91,7634.74,7592.27,7543.13,7488.34,7431.17,7372.14,7309.25,7245.98,7182.43,7117.43,7052.53
854,Burkina Faso,Number (Thousand),Number (1000),4852.83,4924.5,4998.67,5076.11,5157.93,5242.8,5330.61,5422.12,5515.75,5611.67,5707.79,5805.28,5907.74,6018.14,6138.44,6269.77,6416.57,6577.78,6749.94,6932.97,7123.73,7321.82,7531.18,7751.48,7979.19,8207.83,8435,8663.72,8895.23,9131.36,9365.06,9598.56,9840.08,10091.26,10353.26,10621.21,10897.35,11201.06,11533.55,11882.89,12249.76,12632.27,13030.59,13445.98,13876.13,14316.24,14757.07,15197.92,15650.02,16116.84,16602.65,17113.73,17636.41,18169.84,18718.02,19275.5,19835.86,20392.72,20951.64
